% Model:              test_10_copia5_v2.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 18 2023, 09:44
% Dimension:          1
% Nodes:              1032
% Expressions:        1
% Description:        Function
% T (K)                   k_solid_residual_resistivity_ratio_of_100_2(T)
173.45066653302595        406.46496320500603
175.08282048712036        406.0991473658363
176.71497444121482        405.74803148203614
178.34712839530923        405.4107932561915
179.97928234940363        405.0866330997038
181.61143630349804        404.7747741327886
183.24359025759244        404.4744621844756
184.8757442116869         404.1849657926102
186.5078981657813         403.90557620385084
188.14005211987572        403.6356073736718
189.77220607397012        403.3743959663609
191.40436002806453        403.121301355021
193.036513982159          402.8757056215693
194.6686679362534         402.63701355673777
196.3008218903478         402.40465266007277
197.9329758444422         402.1780731399348
199.56512979853662        401.9567479134994
201.19728375263108        401.7401726067565
202.82943770672549        401.5278655545107
204.4615916608199         401.3193678003804
206.0937456149143         401.1142430967996
207.7258995690087         400.91207790501596
209.35805352310317        400.712481395092
210.99020747719757        400.51508544590513
212.62236143129198        400.3195446451464
214.25451538538638        400.12553628932216
215.8866693394808         399.93276038375296
217.51882329357525        399.7409396425738
219.15097724766966        399.54981948873456
220.78313120176406        399.3591680539993
222.41528515585847        399.16877617894704
224.04743910995288        398.9784574129703
225.67959306404734        398.78804801427736
227.31174701814174        398.5974069498904
228.94390097223615        398.40641589564626
230.57605492633056        398.21497923619626
232.20820888042496        398.0230240650059
233.84036283451937        397.830500184356
235.47251678861383        397.6373801053409
237.10467074270824        397.4436590478709
238.73682469680264        397.2493549406694
240.36897865089705        397.0545084212745
242.00113260499145        396.8591828360398
243.63328655908592        396.6634642401325
245.26544051318032        396.46746139753475
246.89759446727473        396.2713057810434
248.52974842136913        396.07515157226885
250.16190237546354        395.8907954796711
251.794056329558          395.81288304929103
253.4262102836524         395.7362919536502
255.05836423774682        395.66087659297386
256.6905181918412         395.58649718161496
258.3226721459356         395.5130196283083
259.9548261000301         395.4403154174841
261.5869800541245         395.368261491642
263.21913400821893        395.29674013478416
264.85128796231334        395.2256388569064
266.48344191640774        395.15485027954827
268.11559587050215        395.0842720224024
269.74774982459655        395.01380659098174
271.37990377869096        394.9433612653504
273.01205773278537        394.8728479899042
274.64421168687977        394.80218326422045
276.2763656409743         394.7312880349603
277.9085195950687         394.66008758883186
279.5406735491631         394.58851144661105
281.1728275032575         394.5164932582249
282.8049814573519         394.44397069888936
284.4371354114463         394.37088536630944
286.0692893655407         394.2971826789365
287.70144331963513        394.2228117752837
289.33359727372954        394.1477254143052
290.96575122782394        394.07187987682653
292.59790518191846        393.9952348680415
294.23005913601287        393.91775342106365
295.8622130901073         393.83940180153695
297.4943670442017         393.7601494133064
299.1265209982961         393.67996870514924
300.7586749523905         393.59883507856205
302.3908289064849         393.51672679660794
304.0229828605793         393.43362489382247
305.6551368146737         393.34951308718036
307.2872907687681         393.26437768811786
308.91944472286264        393.1782075156182
310.55159867695704        393.090993810351
312.18375263105145        393.00273014987596
313.81590658514585        392.9134123648995
315.44806053924026        392.82303845659925
317.08021449333467        392.7316085149944
318.71236844742907        392.63912463839085
320.3445224015235         392.5455908538704
321.9766763556179         392.451013038848
323.6088303097123         392.35539884368734
325.2409842638068         392.25875761536975
326.8731382179012         392.16110032222906
328.5052921719956         392.0624394797409
330.13744612609           391.9627890773728
331.76960008018443        391.8621645064917
333.40175403427884        391.76058248933083
335.03390798837324        391.6580610090204
336.66606194246765        391.5546192406667
338.29821589656206        391.45027748350253
339.93036985065646        391.34505709408444
341.562523804751          391.23898042056067
343.1946777588454         391.13207073798856
344.8268317129398         391.02435218471794
346.4589856670342         390.9158496998237
348.0911396211286         390.80658896161265
349.723293575223          390.69659632717526
351.3554475293174         390.5858987730017
352.9876014834118         390.4745238366584
354.6197554375062         390.36249955952087
356.25190939160063        390.24985443056767
357.88406334569515        390.1366173312294
359.51621729978956        390.02281748130446
361.14837125388397        389.90848438592366
362.78052520797837        389.79364778358143
364.4126791620728         389.6783375952211
366.0448331161672         389.5625838743877
367.6769870702616         389.44641675842536
369.309141024356          389.32986642074655
370.9412949784504         389.2129630241541
372.5734489325448         389.09573667522494
374.2056028866393         388.97821737974954
375.83775684073373        388.8604349992331
377.469910794828          388.74241920845503
379.10206474892254        388.6241994540866
380.73421870301695        388.50580491436716
382.36637265711136        388.3872644598446
383.99852661120576        388.26860661516565
385.63068056530017        388.1498595219276
387.2628345193946         388.0310509026022
388.894988473489          387.9122080254961
390.5271424275834         387.79335767078595
392.1592963816778         387.67452609761074
393.7914503357722         387.5557390122149
395.4236042898667         387.4370215371639
397.0557582439611         387.3183981816025
